"OWCODE","ShortCompanyName","CountryName","Telephone","Telex","Emailaddress","Website","FullName","NationalityofRegistration","NationalityofControl","LastChangeDate","CompanyStatus","FullAddress","Facsimile"
"0102695","POLSKA ZEGLUGA MORSKA PP","Poland","+48 91 359 4333","","pzmmanagement@polsteam.com.pl","www.polsteam.com","Polska Zegluga Morska PP (POLSTEAM) ","Poland","Poland","20081120","","Plac Rodla 8, 70-419 Szczecin, Poland.","+48 91 359 4288"
"0104467","EGYPTIAN NAVIGATION CO","Egypt","+20 3 480 3608","54311arnav","enc@dataxprs.com.eg","www.enc.com.eg","The Egyptian Navigation Co (ENC) ","Egypt","Egypt","20121002","","2, al-Nasr Street, al-Manshiyah, Alexandria, Egypt.","+20 3 483 1345"
"0104949","UNIVAN SHIP MANAGEMENT LTD","Hong Kong, China","+852 3143 7788","75249unvan","office@univan.com","www.univan.com","Univan Ship Management Ltd ","Hong Kong, China","Norway","20130625","","35th Floor, Citicorp Centre, North Point, 18, Whitfield Road, Causeway Bay, Hong Kong, China.","+852 2861 0742"
"0120158","MOLLER AP","Denmark","+45 33 63 33 63","19632mersk","","www.maersk.com","A P Moller ","Denmark","Denmark","20131112","","Esplanaden 50, 1098 Copenhagen, K, Denmark.","+45 33 63 41 08"
"0127141","MYANMA FIVE STAR LINE","Myanmar","+95 1 295279","","mfslhq@mptmail.net.mm","www.mfsl-shipping.com","Myanma Five Star Line ","Myanmar","Myanmar","20110616","","PO Box 1221, 132-136, Theinbyu Road, Yangon, Myanmar.","+95 1 297669"
"0128105","CARNIVAL CORP","United States of America","+1 305 599 2600","518915carnop","media@carnival.com","www.carnivalcorp.com","Carnival Corp ","Panama","United States of America","20140306","","3655, NW 87th Avenue, Doral FL 33178-2418, USA.","+1 305 406 6256"
"0146835","KAHN SCHEEPVAART BV","Netherlands","+31 10 413 4630","22068kahn","info@kahn.nl","","Kahn Scheepvaart BV (Kahn Shipping Ltd)","Netherlands","Netherlands","20130531","","Havenstraat 23, 3115 HC Schiedam, Netherlands.","+31 10 433 4624"
"0152944","MSC MEDITERRANEAN SHIPPING CO","Switzerland","+41 22 703 8888","427445msc","info@mscgva.ch","www.mscgva.ch","MSC Mediterranean Shipping Co SA ","Switzerland","Switzerland","20120716","","chemin Rieu, 12-14, 1208 Geneva, Switzerland.","+41 22 703 8787"
"0161412","PETROBRAS","Brazil","+55 21 2534 1786","5343351","bunker@petrobras.com.br","www.petrobras.com.br","Petroleo Brasileiro SA (PETROBRAS) ","Brazil","Brazil","20121122","","Sala 1104B, Avenida Republica do Chile 65, Centro, Rio de Janeiro RJ, 20031-912, Brazil.","+55 21 2534 2364"
"0186314","HYUNDAI MERCHANT MARINE CO LTD","Korea, South","+82 23 706 5114","24402hmarine","gys@hmm21.com","www.hmm.co.kr","Hyundai Merchant Marine Co Ltd (HMM) ","Korea, South","Korea, South","20130513","","Hyundai Group Building, 1-7, Yeonji-dong, Jongno-gu, Seoul, 110-052, South Korea.","+82 2 778 4341"
"0192009","CARSTEN REHDER SCHIFFSMAKLER","Germany","+49 40 311 8080","213098creh","welcome@carstenrehder.de","www.carstenrehder.de","Carsten Rehder Schiffsmakler und Reederei GmbH & Co KG","Germany","Germany","20110616","","Grosse Elbstrasse 42, 22767 Hamburg, Germany.","+49 40 3118 0813"
"0192468","CHEMIKALIEN SEETRANSPORT GMBH","Germany","+49 40 3690 3252","215227cst","office@cst-shipping.com","www.cst-shipping.com","Chemikalien Seetransport GmbH ","Germany","Germany","20120822","","Mattentwiete 1, 20457 Hamburg, Germany.","+49 40 3690 3206"
"0197870","DAIO KISEN YK","Japan","+81 823 453636","","","","Daio Kisen YK ","Japan","Japan","20100401","","3468-2, Takata, Nomi-cho, Etajima-shi, Hiroshima-ken, 737-2303, Japan.",""
"0203888","ERNST JACOB GMBH & CO KG","Germany","+49 461 86040","22694jacob","infofl@ernstjacob.de","www.ernstjacob.de","Ernst Jacob GmbH & Co KG ","Germany","Germany","20140407","","Postfach 1943, Suederhofenden 12, Altstadt, 24937 Flensburg, Germany.","+49 461 860466"
"0210451","GEFO","Germany","+49 40 301050","2162191gfo","info@gefo.com","www.gefo.com","GEFO Gesellschaft fur Oeltransporte mbH ","Germany","Germany","20110616","","Kurze Muehren 2, 20095 Hamburg, Germany.","+49 40 3010 5161"
"0234911","KIMURA KAIUN KK","Japan","+81 958 220496","","","","Kimura Kaiun KK ","Japan","Japan","20120125","","37, Shikimi-machi, Nagasaki-shi, Nagasaki-ken, 851-1137, Japan.","+81 958 266266"
"0235818","WORDEN GMBH & CO KG","Germany","+49 4144 619010","218664nav","stw@navalis-ship.com","www.navalis-ship.com","Schiffahrtskontor tom Worden GmbH & Co KG","Germany","Germany","20120305","","Wilhelm-Schroeder-Strasse 3, 21726 Oldendorf, Germany.","+49 4144 619011"
"0255909","TAIYO NIPPON KISEN CO LTD","Japan","+81 78 334 9700","","gad@tnkc.jp","www.taiyo.nipponkisen.co.jp","Taiyo Nippon Kisen Co Ltd ","Japan","Japan","20140205","","Towa Building, 2-3, Kaigan-dori 2-chome, Chuo-ku, Kobe-shi, Hyogo-ken, 650-0024, Japan.","+81 78 334 9719"
"0256059","NIPPON TOKUSHUSEN KK","Japan","+81 89 946 4329","","","","Nippon Tokushusen KK ","Japan","Japan","20070126","","6th Floor, Sumitomo Kaijo Matsuyama Building, 12-7, Sanban-cho 4-chome, Matsuyama-shi, Ehime-ken, 790-0003, Japan.","+81 89 931 0088"
"0256062","NYK LINE","Japan","+81 3 3284 5151","22236yusen","","www.nyk.com","Nippon Yusen Kabushiki Kaisha (NYK Line) ","Japan","Japan","20120820","","Yusen Building, 3-2, Marunouchi 2-chome, Chiyoda-ku, Tokyo-to, 100-0005, Japan.","+81 3 3284 5587"
"0277307","SAIKAI ENGAN","Japan","","","","","Saikai Engan Shosen KK ","Japan","Japan","20081124","","7-3, Yorozu-cho, Sasebo-shi, Nagasaki-ken, 857-0877, Japan.",""
"0279997","ROHDEN BEREEDERUNG GMBH","Germany","+49 40 391920","2162020rsb","office@rohden.de","www.rohden.de","Rohden Bereederung GmbH & Co KG ","Germany","Germany","20090915","","Michaelisstrasse 24, 20459 Hamburg, Germany.","+49 40 390 4853"
"0280765","SEATRADE GRONINGEN BV","Netherlands","+31 50 521 5300","53034seat","info@seatrade.nl","www.seatrade.nl","Seatrade Groningen BV ","Netherlands","Netherlands","20110617","","Laan Corpus den Hoorn 200, 9728 JS Groningen, Netherlands.","+31 50 521 5399"
"0284944","SLOMAN NEPTUN SCHIFFAHRTS","Germany","+49 421 176 3314","244421snbr","smgt@sloman-neptun.com","www.sloman-neptun.com","Sloman Neptun Schiffahrts-Aktiengesellschaft","Germany","Germany","20081103","","Langenstrasse 44, 28195 Bremen, Germany.","+49 421 176 3200"
"0299460","TSURUMARU SHIPPING CO LTD","Japan","+81 93 761 5631","715367","soumu@tsurumaru.co.jp","www.tsurumaru.co.jp","Tsurumaru Shipping Co Ltd ","Japan","Japan","20090423","","Tsurumaru Building, 5-11, Hon-machi 1-chome, Wakamatsu-ku, Kitakyushu-shi, Fukuoka-ken, 808-0034, Japan.","+81 93 771 6172"
"0310102","DFDS A/S","Denmark","+45 33 42 33 42","19453dfdsc dk","marine@dfds.com","www.dfds.com","DFDS A/S ","Denmark","Denmark","20121204","","Sundkrogsgade 11, 2100 Copenhagen, O, Denmark.","+45 33 42 33 41"
"0321889","UTKILEN AS","Norway","+47 55 30 78 00","40472utkil","office@utkilen.no","www.utkilen.no","Utkilen AS ","Norway","Norway","20130514","","Strandgaten 197, 5004 Bergen, Norway.","+47 85 02 80 20"
"0336577","ACCIONA TRASMEDITERRANEA","Spain","+34 91 423 8500","","infopax1@trasmediterranea.es","www.trasmediterranea.es","Cia Trasmediterranea SA (Acciona Trasmediterranea)","Spain","Spain","20130415","","planta 2, Edificio D, Calle de Anabel Segura 11, 28108 Alcobendas (Madrid), Spain.","+34 91 423 8555"
"0344771","EVERGREEN MARINE CORP","Chinese Taipei","+886 3 312 3871","","matma1@evergreen-marine.com","www.evergreen-marine.com","Evergreen Marine Corp (Taiwan) Ltd (EVERGREEN LINE)","Chinese Taipei","Chinese Taipei","20130415","","163, Xinnan Road, Sec 1, Luzhu Township, Taoyuan County, 33858, China, Republic of (Taiwan)","+886 3 322 6560"
"0351052","SWEDEN GOVT","Sweden","+46 8 405 1000","","","www.government.se","Government of The Kingdom of Sweden ","Sweden","Sweden","20140605","","Rosenbad 4, SE-103 33 Stockholm, Sweden.",""
"0367129","KNUTSEN OAS SHIPPING AS","Norway","+47 52 70 40 00","42204knut","firmapost@knutsenoas.com","www.knutsenoas.com","Knutsen OAS Shipping AS ","Norway","Norway","20110617","","Smedasundet 40, 5529 Haugesund, Norway.","+47 52 70 40 40"
"0367614","JEBSEN SKIPSREDERI AS","Norway","+47 55 17 51 00","42532kris","kgjs@kgjs.no","www.kgjs.no","Kristian Gerhard Jebsen Skipsrederi AS (KGJS)","Norway","Norway","20100803","","Folke Bernadottes vei 38, Fyllingsdalen, 5147 Bergen, Norway.","+47 55 17 51 21"
"0377173","MORAN TOWING CORP","United States of America","+1 203 442 2800","","","www.morantug.com","Moran Towing Corp ","United States of America","United States of America","20120925","","50, Locust Avenue, New Canaan CT 06840-4741, USA.","+1 203 442 2857"
"0403326","STOLT TANKERS BV","Netherlands","+31 10 299 6666","","stolthaven@stolt.com","www.stolt-nielsen.com","Stolt Tankers BV ","Netherlands","United States of America","20130704","","Haven 190, Westerlaan 5, 3016 CK Rotterdam, Netherlands.","+31 10 264 4400"
"0515924","OCEAN MARINE SERVICES INC","United States of America","+1 425 828 6434","","","www.offshoresystemsinc.com","Ocean Marine Services Inc ","United States of America","United States of America","20130930","","12019, 76th Place NE, Kirkland WA 98034-2437, USA.","+1 425 827 2105"
"0522961","ANGLO-EASTERN SHIP MANAGEMENT","Hong Kong, China","+852 2863 6111","75478aemas","aesm.hkg@angloeasterngroup.com","www.aesm.com.hk","Anglo-Eastern Ship Management Ltd ","Hong Kong, China","Hong Kong, China","20130530","","23rd Floor, 248, Queen's Road East, Wan Chai, Hong Kong, China.","+852 2861 2419"
"0555540","AZERBAIJAN CASPIAN SHIPPING","Azerbaijan","+994 12 493 2058","142102mrfwtsu","adxdg@caspar.az","www.caspar.az","Azerbaijan Caspian Shipping CJSC ","Azerbaijan","Azerbaijan","20141001","","M Rasulzade kucesi 5, Baku, Azerbaijan.","+994 12 493 5339"
"0555567","FESCO","Russia","+7 495 540 8000","","fesco@fesco.ru","www.fesco.ru","Far-Eastern Shipping Co (FESCO) (Dalnevostochnoye Morskoye Parokhodstvo)","Russia","Russia","20130314","","naberezhnaya Serebryanicheskaya 29, Moscow, 109028, Russia.","+7 423 2540 8100"
"0555655","SCF NOVOSHIP JSC","Russia","+7 861 760 1602","","vetting@novoship.ru","www.novoship.ru","SCF Novoship JSC (Novorossiysk Shipping Co)","Russia","Russia","20121205","","ul Svobody 1, Novorossiysk, Krasnodarskiy kray, 353900, Russia.","+7 861 760 1060"
"0586502","SUNSHIP SCHIFFAHRTSKONTOR KG","Germany","+49 4921 94050","27948sun","info@sunship.de","www.sunship.de","Sunship Schiffahrtskontor KG ","Germany","Germany","20080616","","Promenade Am Alten Binnenhafen 10, 26721 Emden-Ostfriesland, Germany.","+49 4921 940533"
"0605971","SHUNZAN KAIUN KK","Japan","+81 898 340700","","shunzn01@sweet.ocn.ne.jp","","Shunzan Kaiun KK (Shunzan Kaiun Co Ltd)","Japan","Japan","20110715","","2-1, Kitahorai-cho 2-chome, Imabari-shi, Ehime-ken, 794-0028, Japan.","+81 898 340600"
"0609960","PORT QASIM AUTHORITY","Pakistan","+92 21 9927 2111","2633qasim","","www.pqa.gov.pk","Port Qasim Authority ","Pakistan","Pakistan","20121204","","Bin Qasim, Karachi, 75020, Pakistan.","+92 21 3473 0108"
"0626322","INTERSEE SCHIFFAHRTSGES MBH","Germany","+49 5932 72020","98606d","info@intersee.de","www.intersee.de","Intersee Schiffahrtsgesellschaft mbH & Co KG","Germany","Germany","20131121","","Boschstrasse 15, 49733 Haren (Ems), Germany.","+49 5932 729220"
"0631141","SCORPIO SHIP MANAGEMENT SAM","Monaco","+377 97 98 57 00","469212scor","safety@scorpio.mc","www.scorpio.mc","Scorpio Ship Management SAM ","Monaco","Monaco","20130730","","Le Millenium, 9, boulevard Charles III, 98000 Monaco-Ville, Monaco.","+377 92 05 70 45"
"0640785","WORLD MARINE CO LTD","Japan","+81 3 5488 1261","2322410worldm","shipmd@worldm.co.jp","www.leonisnav.com.ph","World Marine Co Ltd ","Japan","Japan","20080131","","8th Floor, Kanpai Building, 22-27, Higashigotanda 5-chome, Shinagawa-ku, Tokyo-to, 141-0022, Japan.","+81 3 5488 1260"
"0642512","AVIN INTERNATIONAL SA","Greece","+30 210 809 3100","210608","avin@avin.gr","www.avin.gr","Avin International SA ","Panama","Greece","20120518","","12A, Irodou Attikou Street, Marousi, 151 24 Athens, Greece.","+30 210 809 3111"
"0662886","MURAKI KAISOTEN","Japan","+81 45 433 1345","","","","KK Muraki Kaisoten ","Japan","Japan","20080915","","17-7, Irie 1-chome, Kanagawa-ku, Yokohama-shi, Kanagawa-ken, 221-0014, Japan.","+81 45 432 4071"
"0668531","HANJIN SHIPPING CO LTD","Korea, South","+82 51 460 8262","52239","","www.hanjin.com","Hanjin Shipping Co Ltd ","Korea, South","Korea, South","20140901","","46, Chungjang-daero 9beon-gil, Jung-gu, Busan, 600-755, South Korea.","+82 51 460 8186"
"0691462","JUMBO SHIPPING CO SA","Netherlands","+31 10 790 0300","421189jmbo","info@jumbomaritime.nl","www.jumbomaritime.nl","Jumbo Shipping Co SA ","Netherlands","Netherlands","20140404","","Havenstraat 23, 3115 HC Schiedam, Netherlands.","+31 10 433 4624"
"0694657","MOLSHIP","Japan","+81 3 3587 6136","","safety@mosm.co.jp","www.mol.co.jp","MOL Ship Management Co Ltd (MOLSHIP) ","Japan","Japan","20080821","","3rd Floor, Mitsui OSK Lines Building, 1-1, Toranomon 2-chome, Minato-ku, Tokyo-to, 105-0001, Japan.","+81 3 3587 6202"
"0771929","TRANSOCEAN MARITIME AGENCIES","Monaco","+377 93 10 43 70","469521","transocean@transocean.mc","www.tma-mc.com","Transocean Maritime Agencies SAM ","Monaco","Monaco","20120329","","Le Panorama, 57, rue Grimaldi, 98000 Monte Carlo, Monaco.","+377 93 25 74 72"
"0779527","SAL HEAVY LIFT GMBH","Germany","+49 4142 81810","","sal@sal-heavylift.com","www.sal-heavylift.com","SAL Heavy Lift GmbH ","Germany","Japan","20130828","","Brooktorkai 20, 20457 Hamburg, Germany.","+49 4142 810281"
"0783189","CHELLARAM SHIPPING HONG KONG","Hong Kong, China","+852 2973 6111","77822cshkl","technical@chellship.com","www.chellship.com","Chellaram Shipping (Hong Kong) Ltd ","Hong Kong, China","Hong Kong, China","20090925","","1801, Dina House, Ruttonjee Centre, 11, Duddell Street, Central, Hong Kong, China.","+852 2971 1400"
"0783281","GRIEG STAR AS","Norway","+47 55 57 66 00","40576billa","admin.billabong@grieg.no","www.grieg.no","Grieg Star AS ","Norway","Norway","20121018","","Grieg-Gaarden, C. Sundts gate 17-19, 5004 Bergen, Norway.","+47 55 57 68 55"
"0802992","JUNQUERA MARITIMA SA","Spain","+34 98 519 5560","87321maas e","broker@gjunquera.com","www.gjunquera.com","G Junquera Maritima SA ","Spain","Spain","20120521","","Calle de Gregorio Maranon 1, 33203 Gijon (Asturias), Spain.","+34 98 519 5564"
"0907984","NISSAN MOTOR CAR CARRIER","Japan","+81 3 5541 6977","2523079nisca","e2-nmcc@nissancarrier.co.jp","www.nissancarrier.co.jp","Nissan Motor Car Carrier Co Ltd (Nissan Senyo Sen KK)","Japan","Japan","20090902","","Kayaba-cho Tower, 1-21-1, Shinkawa 1-chome, Chuo-ku, Tokyo-to, 104-0033, Japan.","+81 3 5541 6978"
"0921051","INDIA GOVT COAST GUARD","India","+91 11 2338 4934","03166359cghq","vprotect@indiancoastguard.nic.in","www.indiancoastguard.nic.in","Government of The Republic of India (Coast Guard)","India","India","20130404","","Coast Guard Headquarters, National Stadium Complex, New Delhi, Delhi, 110001, India.","+91 11 2338 3196"
"0929144","U-MING MARINE TRANSPORT CORP","Chinese Taipei","+886 2 2733 8000","15459ummarine","uming@metro.feg.com.tw","www.uming.com.tw","U-Ming Marine Transport Corp ","Chinese Taipei","Chinese Taipei","20081111","","29th Floor, Taipei Metro Tower, 207, Dunhua S Road, Section 2, Da-an District, Taipei City, 10602, China, Republic of (Taiwan)","+886 2 2735 9900"
"0946377","BORCOS SHIPPING SDN BHD","Malaysia","+60 85 419954","74259borcos","admin@borcos.com.my","www.borcos.com.my","Syarikat Borcos Shipping Sdn Bhd ","Malaysia","Malaysia","20110715","","PO Box 687, 3, Jalan Krokop, 98007 Miri, Sarawak, Malaysia.","+60 85 418854"
"0979251","MMS CO LTD","Japan","+81 3 3792 9811","2223612mms","tanker@mmstokyo.co.jp","","MMS Co Ltd ","Japan","Japan","20140722","","Surfeel Nakameguro Building, 18-12, Kamimeguro 1-chome, Meguro-ku, Tokyo-to, 153-0051, Japan.","+81 3 3792 5023"
"0999719","WESSELS REEDEREI GMBH & CO KG","Germany","+49 5932 5010","98635wesha","info@wessels.de","www.wessels.de","Wessels Reederei GmbH & Co KG ","Germany","Germany","20130930","","Industriestrasse 12-14, 49733 Haren (Ems), Germany.","+49 5932 50122"
"1025259","SK SHIPPING CO LTD","Korea, South","+82 51 605 0700","22626kocoln","smplanning@sk.com","www.skshipping.com","SK Shipping Co Ltd ","Korea, South","Korea, South","20130828","","19th Floor, 24, Toegye-ro, Jung-gu, Seoul, 100-711, South Korea.","+82 51 605 0770"
"1038263","NORBULK SHIPPING UK LTD","United Kingdom","+44 1415 523000","779192norship","mail@norbulkshipping.com","www.norbulkshipping.com","Norbulk Shipping UK Ltd ","United Kingdom","United Kingdom","20120704","","Norbulk House, 68, Glassford Street, Glasgow, G1 1UP, United Kingdom.","+44 1415 595250"
"1043140","MIFUKU KAIUN","Japan","","","","","Mifuku Kaiun YK ","Japan","Japan","20080804","","811, Sakate, Shodoshima-cho, Shozu-gun, Kagawa-ken, 761-4425, Japan.",""
"1090014","SESA GOA LTD","India","+91 832 229 8357","","","www.sesagoa.com","Sesa Goa Ltd ","India","India","20140130","","Sirsaim, Tivim, Bardez, Goa, 403502, India.","+91 832 299 8439"
"1096561","KZN BUNKERS PTY LTD","South Africa","+27 31 206 1360","","info@kznbumkers.co.za","www.kznbunkers.co.za","KZN Bunkers Pty Ltd ","South Africa","South Africa","20110706","","66, Hannah Road, Congella, Durban, 4001, South Africa.","+27 31 206 1356"
"1098363","LOS CIPRESES SA","Uruguay","+598 2 920670","23064rios","info@buquebus.es","www.buquebus.es","Los Cipreses SA (BUQUEBUS) ","Uruguay","Spain","20081024","","1400, Rio Negro Montevideo, Uruguay.","+598 2 922555"
"1125205","THORESEN & CO BANGKOK LTD","Thailand","+66 2 250 0569","84364thor","tta@thoresen.com","www.thoresen.com","Thoresen & Co (Bangkok) Ltd ","Thailand","Thailand","20110921","","26-27, 8th Floor, Orakan Building, 26, Chidlom Road, Kwaeng Lumphini, Khet Pathum Wan, Bangkok, 10330, Thailand.","+66 2 655 5631"
"1130611","MERCATOR LTD","India","+91 22 6637 3333","83846mll in","mercator@mercator.in","www.mercator.in","Mercator Ltd ","India","India","20111207","","3rd Floor, Mittal Tower, B-Wing, Nariman Point, Mumbai, 400021, India.","+91 22 6637 3344"
"1168545","WILSON SHIP MANAGEMENT AS","Norway","+47 55 30 82 00","40439jacc","shipmanagement@wilsonship.no","www.wilsonship.no","Wilson Ship Management AS ","Norway","Norway","20090108","","Bradbenken 1, 5835 Bergen, Norway.","+47 55 31 72 70"
"1180202","COLOMBIA GOVT ARMADA REPUBLICA","Colombia","","","","","Government of The Republic of Colombia (Armada Republica de Colombia) ","Colombia","Colombia","20060222","","Comando Fuerza Naval del Atlantico, Cartagena de Indias, Colombia.",""
"1205958","BORA DENIZCILIK","Turkey","+90 216 383 7755","36707abor","bora@borashipping.com","www.borashipping.com","Bora Denizcilik Sanayi ve Ticaret AS (Bora Shipping Industry & Trading Co Inc) ","Turkey","Turkey","20121101","","Sehit Pilot Ahmet Altas Caddesi 4, Yali Mah, Maltepe, 34844 Istanbul, Turkey.","+90 216 383 7766"
"1216189","FRONTLINE MANAGEMENT AS","Norway","+47 23 11 40 00","74011front","operation@frontmgt.no","www.frontline.bm","Frontline Management AS ","Norway","Bermuda","20140319","","Bryggegata 3, 0250 Oslo, Norway.","+47 23 11 40 40"
"1216303","DENIZSAN GEMI ISLETMECILIGI","Turkey","+90 216 306 7120","36583","gemi@denizsan.com","www.denizsan.com","Denizsan Gemi Isletmeciligi ve Ticaret AS","Turkey","Turkey","20140320","","Atolyeler Sokak 3, Yunus Mah, Kartal, 34873 Istanbul, Turkey.","+90 216 488 8494"
"1220552","HARTMANN SCHIFFAHRTS GMBH & CO","Germany","+49 491 92880","27633ahart","info@hartmann-reederei.de","www.hartmann-reederei.de","Hartmann Schiffahrts GmbH & Co KG (Hartmann Reederei)","Germany","Germany","20111116","","Koenigstrasse 23, 26789 Leer (Ostfriesland), Germany.","+49 491 928 8200"
"1249369","STENA LINE SCANDINAVIA AB","Sweden","+46 31 858000","21914stena","press@stenaline.com","www.stenaline.com","Stena Line Scandinavia AB ","Sweden","Sweden","20130814","","Stena Denmark Terminal, SE-405 19 Gothenburg, Sweden.","+46 31 241038"
"1252195","EASTERN MEDITERRANEAN MTME-LIE","Greece","+30 210 969 9700","210489","email@eastmed.gr","www.eastmed.gr","Eastern Mediterranean Maritime Ltd ","Liechtenstein","Greece","20131031","","69, Grigoriou Lampraki Street, Glyfada, 166 75 Athens, Greece.","+30 210 960 4430"
"1285755","WILLIAMS SHIPPING MARINE","United Kingdom","+44 2380 529555","","enquiries@williams-shipping.co.uk","www.williams-shipping.co.uk","Williams Shipping Marine Ltd ","United Kingdom","United Kingdom","20130924","","Manor House Avenue, Southampton, SO15 0LF, United Kingdom.","+44 2380 529444"
"1294033","DOF MANAGEMENT AS","Norway","+47 56 18 10 00","","management@dof.no","www.dofman.no","DOF Management AS ","Norway","Norway","20130624","","Alfabygget, 5392 Storebo, Norway.","+47 56 18 10 06"
"1314037","MTM SHIP MANAGEMENT PTE LTD","Singapore","+65 6304 1770","","singapore@mtmsm.com","www.mtmshipmanagement.com","MTM Ship Management Pte Ltd ","Singapore","United States of America","20130611","","13-01, 78, Shenton Way, Singapore 079120","+65 6220 7988"
"1314173","EASTERN PACIFIC SHIPPING PTE","Singapore","+65 6433 5225","","general@epshipping.com.sg","www.epshipping.com.sg","Eastern Pacific Shipping Pte Ltd ","Singapore","Singapore","20140507","","38-01, Millenia Tower, 1, Temasek Avenue, Singapore 039192","+65 6336 5311"
"1316943","UNICOM MANAGEMENT SERV-CYP","Cyprus","+357 2589 0000","3002unicom","unicom@scf-group.com","www.unicom-cy.com","Unicom Management Services (Cyprus) Ltd","Cyprus","Russia","20130405","","SCF Unicom Tower, Maximos Plaza, 18, Maximou Michailidi Street, Neapolis, 3106 Limassol, Cyprus.","+357 2589 0089"
"1368147","DADAYLILAR DENIZ","Turkey","","","","","Dadaylilar Deniz Nakliyati Ticaret Kollektif Sti","Turkey","","20071109","","Yeni Hayat Sokak 17, Yavuzsinan Mah, Eminonu, 34134 Istanbul, Turkey.",""
"1406266","SMT SHIPPING CYPRUS LTD","Cyprus","+357 2582 0000","","smtcy@smt.com.cy","www.smtgroup.eu","SMT Shipping (Cyprus) Ltd ","Cyprus","Cyprus","20130828","","Suite 702A, 7th Floor, Nicolaou Pentadromos Center, Pentadromos Junction, 3312 Limassol, Cyprus.","+357 2574 9080"
"1407781","XIAMEN DONGMING SHIPPING CO","China, People's Republic of","+86 592 226995","","webmaster@xmdm-ship.com","","Xiamen Dongming Shipping Co Ltd ","China, People's Republic of","China, People's Republic of","20091104","","12, Shoushan Lu, Siming Qu, Xiamen, Fujian, 361001, China.","+86 592 202 6995"
"1418224","ITM LTD-UAE","United Arab Emirates","+971 4 352 9555","49466itmdxb em","itm.dubai@tankermanager.com","www.tankermanager.com","International Tanker Management Ltd ","United Arab Emirates","United Arab Emirates","20120210","","Room 401, Rais Hassan Saadi Building, al-Mankhool Road, PO Box 24415, Dubai, United Arab Emirates.","+971 4 351 5469"
"1424568","CANDLER SCHIFFAHRT GMBH","Germany","+49 421 691640","245064","ships@candler.eu","www.candler.eu","Candler Schiffahrt GmbH ","Germany","Germany","20130528","","Martinistrasse 29, 28195 Bremen, Germany.","+49 421 337 9433"
"1446774","FURTRANS DENIZCILIK","Turkey","+90 216 544 5151","29359furt","furtrans@furtrans.com.tr","","Furtrans Denizcilik Ticaret ve Sanayi AS (Furtrans Shipping & Trading AS) ","Turkey","Turkey","20121214","","Mehmet Aktan Sokak 9/11, Kosuyolu Mah, Kadikoy, 34718 Istanbul, Turkey.","+90 216 544 5144"
